region,value,year
12524,3,2019.5
12211,3,2019.5
08060,3,2019.5
11721,3,2019.5
33431,3,2019.5
32202,3,2019.5
07874,3,2019.5
10958,3,2019.5
14094,3,2019.5
11751,3,2019.5
22314,3,2019.5
23502,3,2019.5
46219,3,2019.5
07649,3,2019.5
12477,3,2019.5
07724,3,2019.5
19044,3,2019.5
06605,3,2019.5
14850,3,2019.5
44444,3,2019.5
23320,3,2019.5
14845,3,2019.5
1780,3,2019.5
11719,3,2019.5
12586,3,2019.5
11579,3,2019.5
23452,3,2019.5
08527,3,2019.5
07834,3,2019.5
10501,3,2019.5
10987,3,2019.5
37214,3,2019.5
10962,3,2019.5
10176,3,2019.5
07663,3,2019.5
06468,3,2019.5
33432,3,2019.5
06460,3,2019.5
07508,3,2019.5
32303,3,2019.5
07504,3,2019.5
10178,3,2019.5
12203,3,2019.5
08852,3,2019.5
11790,3,2019.5
06606,3,2019.5
10159,3,2019.5
10041,3,2019.5
75067,3,2019.5
07605,3,2019.5
17011,3,2019.5
11950,3,2019.5
07202,3,2019.5
77478,3,2019.5
07920,3,2019.5
55437,3,2019.5
07866,3,2019.5
11778,3,2019.5
11752,3,2019.5
45040,3,2019.5
22202,3,2019.5
06804,3,2019.5
07014,3,2019.5
98036,3,2019.5
08759,3,2019.5
06611,3,2019.5
00000,3,2019.5
75038,3,2019.5
10174,3,2019.5
07630,3,2019.5
07076,3,2019.5
91361,3,2019.5
10960,3,2019.5
08723,3,2019.5
18466,3,2019.5
12866,3,2019.5
14623,3,2019.5
12201,3,2019.5
20002,3,2019.5
92025,2,2019.5
30144,2,2019.5
07974,2,2019.5
11937,2,2019.5
10524,2,2019.5
08629,2,2019.5
23513,2,2019.5
85284,2,2019.5
14217,2,2019.5
29609,2,2019.5
56010,2,2019.5
10113,2,2019.5
07078,2,2019.5
77041,2,2019.5
06790,2,2019.5
20110,2,2019.5
12110,2,2019.5
1781,2,2019.5
60077,2,2019.5
89501,2,2019.5
08534,2,2019.5
91423,2,2019.5
60173,2,2019.5
07801,2,2019.5
75081,2,2019.5
06450,2,2019.5
1101,2,2019.5
47708,2,2019.5
30022,2,2019.5
17111,2,2019.5
01810,2,2019.5
22207,2,2019.5
96753,2,2019.5
10930,2,2019.5
89117,2,2019.5
55441,2,2019.5
14223,2,2019.5
11933,2,2019.5
60563,2,2019.5
40245,2,2019.5
40007,2,2019.5
30092,2,2019.5
34604,2,2019.5
06477,2,2019.5
98021,2,2019.5
41105,2,2019.5
07738,2,2019.5
40741,2,2019.5
22424,2,2019.5
14604,2,2019.5
93401,2,2019.5
75090,2,2019.5
75075,2,2019.5
12570,2,2019.5
28273,2,2019.5
08026,2,2019.5
46037,2,2019.5
10986,2,2019.5
92009,2,2019.5
98011,2,2019.5
06850,2,2019.5
60062,2,2019.5
08016,2,2019.5
43215,2,2019.5
12180,2,2019.5
90403,2,2019.5
06812,2,2019.5
55344,2,2019.5
77057,2,2019.5
19711,2,2019.5
73112,2,2019.5
32751,2,2019.5
30067,2,2019.5
92008,2,2019.5
07840,2,2019.5
03103,2,2019.5
48076,2,2019.5
66219,2,2019.5
78744,2,2019.5
75701,2,2019.5
50613,2,2019.5
74146,2,2019.5
60035,2,2019.5
18337,2,2019.5
75082,2,2019.5
35209,2,2019.5
85034,2,2019.5
61761,2,2019.5
61834,2,2019.5
84119,2,2019.5
000,2,2019.5
08736,2,2019.5
13202,2,2019.5
02062,2,2019.5
06903,2,2019.5
10526,2,2019.5
07095,2,2019.5
08550,2,2019.5
32960,2,2019.5
60008,2,2019.5
12100,2,2019.5
12754,2,2019.5
12461,2,2019.5
15218,2,2019.5
08050,2,2019.5
80246,2,2019.5
06461,2,2019.5
10505,2,2019.5
19106,2,2019.5
10923,2,2019.5
20036,2,2019.5
21401,2,2019.5
33066,2,2019.5
12566,2,2019.5
19010,2,2019.5
10560,2,2019.5
54302,2,2019.5
60714,2,2019.5
14127,2,2019.5
06807,2,2019.5
18064,2,2019.5
12194,2,2019.5
07740,2,2019.5
08731,2,2019.5
10968,2,2019.5
08053,2,2019.5
80110,2,2019.5
33323,2,2019.5
30518,2,2019.5
07050,2,2019.5
06897,2,2019.5
11042,2,2019.5
21211,2,2019.5
47130,2,2019.5
13732,2,2019.5
55902,2,2019.5
91360,2,2019.5
07203,2,2019.5
49684,2,2019.5
85286,2,2019.5
08846,2,2019.5
08535,2,2019.5
11942,2,2019.5
11930,2,2019.5
13214,2,2019.5
07442,2,2019.5
19709,2,2019.5
15220,2,2019.5
36609,2,2019.5
85224,2,2019.5
07208,2,2019.5
85712,2,2019.5
19601,2,2019.5
08618,2,2019.5
14150,2,2019.5
75039,2,2019.5
12514,2,2019.5
06614,2,2019.5
08884,2,2019.5
13760,2,2019.5
1550,2,2019.5
06109,2,2019.5
55343,2,2019.5
19053,2,2019.5
08510,2,2019.5
10168,2,2019.5
08690,2,2019.5
11548,2,2019.5
33308,2,2019.5
02116,2,2019.5
10162,2,2019.5
77035,2,2019.5
07063,2,2019.5
07201,2,2019.5
12901,2,2019.5
01803,2,2019.5
85249,2,2019.5
07936,2,2019.5
18428,2,2019.5
90230,2,2019.5
19014,2,2019.5
10154,2,2019.5
10167,2,2019.5
11024,2,2019.5
33434,2,2019.5
13204,2,2019.5
85028,2,2019.5
06854,2,2019.5
18015,2,2019.5
60630,2,2019.5
10963,2,2019.5
07452,2,2019.5
56377,2,2019.5
10588,2,2019.5
92121,2,2019.5
07646,2,2019.5
60004,2,2019.5
14227,2,2019.5
07405,2,2019.5
06851,2,2019.5
92806,2,2019.5
11949,2,2019.5
33428,2,2019.5
74136,2,2019.5
06824,2,2019.5
07836,2,2019.5
60045,2,2019.5
11934,2,2019.5
85262,2,2019.5
77338,2,2019.5
02914,2,2019.5
41048,2,2019.5
90503,2,2019.5
12831,2,2019.5
97205,2,2019.5
07057,2,2019.5
06515,2,2019.5
50701,2,2019.5
06615,2,2019.5
11786,2,2019.5
11939,2,2019.5
94107,2,2019.5
10511,2,2019.5
11755,2,2019.5
06801,2,2019.5
55433,2,2019.5
07421,2,2019.5
07716,2,2019.5
80014,2,2019.5
23233,2,2019.5
12571,2,2019.5
27709,2,2019.5
13778,2,2019.5
98201,2,2019.5
11547,2,2019.5
02061,2,2019.5
10055,2,2019.5
32750,2,2019.5
08753,2,2019.5
20904,2,2019.5
13842,2,2019.5
06890,2,2019.5
37067,2,2019.5
10993,2,2019.5
11940,2,2019.5
55126,2,2019.5
10928,2,2019.5
44114,2,2019.5
12572,2,2019.5
07012,2,2019.5
12167,2,2019.5
02184,2,2019.5
20896,2,2019.5
33770,2,2019.5
20015,2,2019.5
07640,2,2019.5
02472,2,2019.5
12561,2,2019.5
92010,2,2019.5
20024,2,2019.5
33716,2,2019.5
06514,2,2019.5
07073,2,2019.5
32536,2,2019.5
32835,2,2019.5
33321,2,2019.5
19128,2,2019.5
10173,2,2019.5
06001,2,2019.5
33160,2,2019.5
18049,2,2019.5
20912,2,2019.5
14225,2,2019.5
91316,2,2019.5
20854,2,2019.5
44087,2,2019.5
45601,2,2019.5
20814,2,2019.5
06906,2,2019.5
10111,2,2019.5
87501,2,2019.5
01887,2,2019.5
10107,2,2019.5
33186,2,2019.5
33004,2,2019.5
12206,2,2019.5
07105,2,2019.5
14211,2,2019.5
22312,2,2019.5
55304,2,2019.5
33180,2,2019.5
08081,2,2019.5
07501,2,2019.5
40223,2,2019.5
12207,2,2019.5
10008,2,2019.5
32780,2,2019.5
78750,2,2019.5
12521,2,2019.5
18706,2,2019.5
32159,2,2019.5
28227,2,2019.5
10151,2,2019.5
07072,2,2019.5
12547,2,2019.5
45822,2,2019.5
83687,2,2019.5
11792,2,2019.5
08057,2,2019.5
10271,2,2019.5
12205,2,2019.5
07080,2,2019.5
92868,2,2019.5
08034,2,2019.5
19107,2,2019.5
13820,2,2019.5
53005,2,2019.5
12065,2,2019.5
06108,2,2019.5
19701,2,2019.5
32765,2,2019.5
22201,2,2019.5
12719,2,2019.5
01532,2,2019.5
37075,2,2019.5
11385,694,2020.0
10036,675,2020.0
11220,623,2020.0
11368,587,2020.0
10019,586,2020.0
11214,579,2020.0
11218,573,2020.0
11235,571,2020.0
11223,559,2020.0
10314,552,2020.0
11234,540,2020.0
11372,536,2020.0
10001,533,2020.0
11229,516,2020.0
10467,488,2020.0
11230,482,2020.0
11354,469,2020.0
11377,468,2020.0
10003,461,2020.0
11207,461,2020.0
10002,454,2020.0
11101,449,2020.0
11226,447,2020.0
10025,445,2020.0
11209,442,2020.0
10462,441,2020.0
11419,438,2020.0
11208,437,2020.0
10011,435,2020.0
11432,433,2020.0
10458,430,2020.0
11215,421,2020.0
11211,418,2020.0
10461,418,2020.0
10016,413,2020.0
10013,409,2020.0
10453,407,2020.0
11373,402,2020.0
11204,398,2020.0
10452,398,2020.0
10456,388,2020.0
10022,384,2020.0
10029,384,2020.0
11236,379,2020.0
10017,378,2020.0
10457,377,2020.0
11355,376,2020.0
11103,374,2020.0
11435,373,2020.0
10018,372,2020.0
11219,371,2020.0
10469,370,2020.0
11201,359,2020.0
10306,358,2020.0
11222,346,2020.0
11221,343,2020.0
10472,340,2020.0
11378,339,2020.0
11212,339,2020.0
11375,337,2020.0
10024,334,2020.0
10468,332,2020.0
10023,327,2020.0
10027,327,2020.0
11105,321,2020.0
11203,317,2020.0
10305,316,2020.0
11237,314,2020.0
11420,311,2020.0
11206,309,2020.0
11418,307,2020.0
10312,293,2020.0
10014,293,2020.0
10031,288,2020.0
10463,288,2020.0
11106,287,2020.0
11434,282,2020.0
10009,282,2020.0
10460,279,2020.0
10128,276,2020.0
10455,271,2020.0
11216,269,2020.0
10033,268,2020.0
10466,267,2020.0
10309,267,2020.0
10459,264,2020.0
10451,264,2020.0
10021,262,2020.0
10010,262,2020.0
11238,261,2020.0
10028,259,2020.0
11232,257,2020.0
11210,246,2020.0
11357,245,2020.0
10310,243,2020.0
11379,242,2020.0
11374,241,2020.0
10012,235,2020.0
10032,234,2020.0
10304,233,2020.0
